SALVOCHEM,6/11/2012,22,22.7,21.9,22.3,56000
ZEALBANGLA,6/11/2012,10.5,10.5,10.5,10.5,9500
1JANATAMF,6/11/2012,7,7,6.9,6.9,68000
1STBSRS,6/11/2012,89.9,90,89.5,89.7,7500
1STICB,6/11/2012,880,883.5,880,881.2,550
1STPRIMFMF,6/11/2012,11.5,11.5,11.5,11.5,7000
3RDICB,6/11/2012,130.2,130.2,130.2,130.2,150
5THICB,6/11/2012,118.2,118.2,118.2,118.2,100
6THICB,6/11/2012,47.2,47.2,46.9,46.9,600
ABB1STMF,6/11/2012,10.4,10.4,10.4,10.4,500
AIBL1STIMF,6/11/2012,7.1,7.1,6.4,6.4,144500
AIMS1STMF,6/11/2012,36.1,36.1,35.2,35.5,62750
DBH1STMF,6/11/2012,6.2,6.3,6.1,6.2,84500
EBL1STMF,6/11/2012,9.3,9.3,9.2,9.2,30500
FBFIF,6/11/2012,9.8,9.8,9,9.2,3000
GRAMEEN1,6/11/2012,49,49.5,48.3,48.9,32000
GRAMEENS2,6/11/2012,15.4,15.6,15.1,15.4,208000
GREENDELMF,6/11/2012,5.2,5.2,5,5,283500
ICB1STNRB,6/11/2012,29.2,29.2,27.2,27.8,1500
ICB2NDNRB,6/11/2012,14.4,14.4,14.1,14.1,57000
ICB3RDNRB,6/11/2012,6.3,6.3,6.1,6.1,80500
ICBAMCL1ST,6/11/2012,43,43,43,43,4500
ICBAMCL2ND,6/11/2012,7.7,7.8,7.6,7.7,91500
ICBEPMF1S1,6/11/2012,7.8,7.8,7.5,7.5,69500
ICBISLAMIC,6/11/2012,19.1,19.7,19.1,19.4,2000
IFIC1STMF,6/11/2012,7.2,7.2,7,7,229000
IFILISLMF1,6/11/2012,5,5,4.9,4.9,115500
LRGLOBMF1,6/11/2012,10,10,10,10,500
MBL1STMF,6/11/2012,7.2,7.2,6.6,6.9,1000
PF1STMF,6/11/2012,6.1,6.1,5.9,6,6500
PHPMF1,6/11/2012,5.4,5.5,5.3,5.3,121000
POPULAR1MF,6/11/2012,5.8,5.9,5.7,5.8,157500
PRIME1ICBA,6/11/2012,6.4,6.4,6.2,6.2,10000
RELIANCE1,6/11/2012,8.3,8.3,8.1,8.2,3000
SEBL1STMF,6/11/2012,10,10,9.7,9.7,13000
TRUSTB1MF,6/11/2012,7.9,8,7.9,7.9,95000
ACIZCBOND,6/11/2012,793,810,792.5,804,117
BRACSCBOND,6/11/2012,1030,1030,1030,1030,20
IBBLPBOND,6/11/2012,912.25,920,912.25,917.75,360
ECABLES,6/11/2012,64,64,60,62.1,18500
MPETROLEUM,6/11/2012,212.1,215,208.6,213.4,236500
SIBL,6/11/2012,21.3,21.7,21.1,21.6,4676250
DSEGEN,6/11/2012,4725.73,4726.13,4647.66,4689.2,1564310000
